deployment,original_path,new_path,action
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080116.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080116.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080117.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080117.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080118.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080118.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080119.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080119.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080120.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080120.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080121.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080121.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080122.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080122.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080123.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080123.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080124.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080124.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080125.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080125.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080126.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080126.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080127.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080127.JPG,moved
